urlkey	url_key_copy	group_id	count
open-mic	open-mic	16967362	4
permaculture	permaculture	16967362	4
professional-women	professional-women	16967362	4
projectmgmt	projectmgmt	16967362	4
renewable-energy	renewable-energy	16967362	4
russian	russians	16967362	4
sailing	sailing	16967362	4
scala-programming	scala-programming	16967362	4
singers	singers	16967362	4
software-engineering	software-engineering	16967362	4
song-writing	song-writing	16967362	4
speed-dating	speed-dating	16967362	4
statistical-education	statistics-various	16967362	4
statistics-and-data-analysis	statistics-various	16967362	4
tableau	tableau	16967362	4
travel-photography	travel-photography	16967362	4
venture-capital	venture-capital	16967362	4
weekend-getaways	weekend-getaways	16967362	4
women-programmers	women-programmers	16967362	4
young-entrepreneur	entrepreneurship-various	16967362	4
accent-reduction	accent-reduction	16967362	3
agnostic	agnostic	16967362	3
android	android	16967362	3
billiards	billiards	16967362	3
biotechnology	biotechnology	16967362	3
book-writing	book-writing	16967362	3
bouldering	bouldering	16967362	3
business-analytics	business-various	16967362	3
canoe	canoe	16967362	3
cardmaking	cardmaking	16967362	3
cassandra	cassandra	16967362	3
chinese-language	chinese-language	16967362	3
churchandstate	churchandstate	16967362	3
coed-soccer	coed-soccer	16967362	3
collaboration	collaboration	16967362	3
college-students	college-students	16967362	3
comedy	comedy	16967362	3
community	community	16967362	3
computer-graphics	computer-graphics	16967362	3
conscious-movement	conscious-movement	16967362	3
cooking-classes	cooking	16967362	3
culture	culture	16967362	3
data-analysis	data-analysis	16967362	3
dinner	dinner	16967362	3
dinner-and-a-movie	dinner-and-a-movie	16967362	3
dinner-and-drinks	dinner-and-drinks	16967362	3
dotnet	dotnet	16967362	3
dv	dv	16967362	3
electronic-dance-music	dance-various	16967362	3
entertain	entertainment	16967362	3
esl-practice	esl-practice	16967362	3
evolution	evolution	16967362	3
front-end-development	front-end-development	16967362	3
gay	gay	16967362	3
gay-and-lesbian-friends	gay-and-lesbian-friends	16967362	3
gay-singles	gay-singles	16967362	3
geographic-information-systems-gis	geographic-information-systems-gis	16967362	3
geolocation	geolocation	16967362	3
geology	geology	16967362	3
geospatial	geospatial	16967362	3
green-entrepreneurs	entrepreneurship-various	16967362	3
hanging-out	hanging-out	16967362	3
haskell	haskell	16967362	3
hispanicpros	hispanicpros	16967362	3
independent-game-development	independent-game-development	16967362	3
information-security	information-security	16967362	3
it-professionals	it-professionals	16967362	3
lawofattraction	lawofattraction	16967362	3
libertarian	libertarian	16967362	3
life-sciences	life-sciences	16967362	3
lifetransform	lifetransform	16967362	3
localpolitics	localpolitics	16967362	3
locals-new-in-town	locals-new-in-town	16967362	3
makerspaces	makerspaces	16967362	3
motorcycle-touring	motorcycle-touring	16967362	3
nightlife	nightlife	16967362	3
nude-photography	nude-photography	16967362	3
objective-c	objective-c	16967362	3
organic-foods	organic-foods	16967362	3
outdoor-soccer	outdoor-soccer	16967362	3
pets-animals	pets-animals	16967362	3
php-framework	php-various	16967362	3
portland-or	portland-or	16967362	3
quantified-self	quantified-self	16967362	3
rawfood	rawfood	16967362	3
real-estate-investors	real-estate-investors	16967362	3
ria	ria	16967362	3
road-cycling	road-cycling	16967362	3
role-playing-games-rpgs	role-playing-games-rpgs	16967362	3
russian-culture	russian-culture	16967362	3
saas-software-as-a-service	saas-software-as-a-service	16967362	3
semweb	semweb	16967362	3
sensors	sensors	16967362	3
singles-30s-50s	singles-30s-50s	16967362	3
small-business-owners	business-various	16967362	3
social-media-marketing	social-media-marketing	16967362	3
socratescafe	socratescafe	16967362	3
software-quality	software-quality	16967362	3
sportsfans	sportsfans	16967362	3
sql	sql	16967362	3
support	support	16967362	3
surfing	surfing	16967362	3
tabletop-role-playing-and-board-games	tabletop-role-playing-and-board-games	16967362	3
tennis	tennis	16967362	3
ui-design	ui-design	16967362	3
vegetarian	vegetarian	16967362	3
vintage	vintage	16967362	3
visualization	visualization	16967362	3
webcomm	webcomm	16967362	3
womens-empowerment	womens-empowerment	16967362	3
wordpress-customization	wordpress	16967362	3
3d-artists	arts-various	16967362	2
3d-printing	3d-printing	16967362	2
active-parents	active-parents	16967362	2
activities	activities	16967362	2
africanmusic	africanmusic	16967362	2
algorithmic-trading	algorithmic-trading	16967362	2
all-forms-of-javascript	java	16967362	2
alternative-lifestyles	alternative-lifestyles	16967362	2
android-development-training	android-development-training	16967362	2
angular	angular	16967362	2
animalrights	animalrights	16967362	2
anime	anime	16967362	2
apache-spark	apache-spark	16967362	2
artificial-intelligence-applications	artificial-intelligence-applications	16967362	2
artificial-intelligence-machine-learning-robotics	artificial-intelligence-machine-learning-robotics	16967362	2
aws-programming-and-tools	aws-programming-and-tools	16967362	2
backcountry-skiing	backcountry-skiing	16967362	2
badminton	badminton	16967362	2
basics-of-iphone-app-development	basics-of-iphone-app-development	16967362	2
beach	beach	16967362	2
bicycle-touring	bicycle-touring	16967362	2
bilingual-spanish-english	bilingual-spanish-english	16967362	2
bitcoin	bitcoin	16967362	2
blogs	blogs	16967362	2
bollywood-films	bollywood-films	16967362	2
bouldering-and-rock-climbing	bouldering-and-rock-climbing	16967362	2
bowling	bowling	16967362	2
britcoms	britcoms	16967362	2
buddhist	buddhist	16967362	2
bunco	bunco	16967362	2
burningman	burningman	16967362	2
career-network	networking	16967362	2
charity-events	charity-events	16967362	2
christianmin	christianmin	16967362	2
clubbing	clubbing	16967362	2
coffee-lovers	coffee-lovers	16967362	2
coffee-tea-while-knitting	coffee-tea-while-knitting	16967362	2
cognitive-neuroscience	cognitive-neuroscience	16967362	2
collage	collage	16967362	2
community-gardening	community-gardening	16967362	2
communityorg	communityorg	16967362	2
confidence-and-self-esteem	confidence-and-self-esteem	16967362	2
conservation	conservation	16967362	2
content-development	content-development	16967362	2
content-management	content-management	16967362	2
continuous-deployment	continuous-deployment	16967362	2
continuous-integration	continous-integration	16967362	2
cosplay	cosplay	16967362	2
coursera-org	coursera-org	16967362	2
creative-freelancers	creative-freelancers	16967362	2
crocheting	crocheting	16967362	2
csharp	csharp	16967362	2
css3	css3	16967362	2
cultural-diversity	cultural-diversity	16967362	2
currentevents	currentevents	16967362	2
data	data	16967362	2
data-analysis-and-modeling	data-analysis-and-modeling	16967362	2
dating-over-35	dating-over-35	16967362	2
devops	devops	16967362	2
digital-media	digital-media	16967362	2
dog-play-groups	dog-play-groups	16967362	2
drinking	drinking	16967362	2
drones	drones	16967362	2
ecommerce-technology	ecommerce-technology	16967362	2
economics	economics	16967362	2
ecstatic-dance	dance-various	16967362	2
elasticsearch	elasticsearch	16967362	2
emerging-robotic-technologies	emerging-robotic-technologies	16967362	2
energy-healing	energy-healing	16967362	2
english-language	english-language	16967362	2
espanol	espanol	16967362	2
expat-french-french-speakers	expat-french-french-speakers	16967362	2
expatfrench	expatfrench	16967362	2
exploring-new-restaurants	exploring-new-restaurants	16967362	2
f-programming	f-programming	16967362	2
families	families	16967362	2
filmind	filmind	16967362	2
fine-arts	arts-various	16967362	2
founders	founders	16967362	2
freedom	freedom	16967362	2
french-culture	french-culture	16967362	2
functional-programming-in-python	python	16967362	2
futureofnews	futureofnews	16967362	2
gay-friends	gay-friends	16967362	2
geography	geography	16967362	2
german	german	16967362	2
getting-started-with-python	python	16967362	2
girlfriends	girlfriends	16967362	2
girls-having-fun	girls-having-fun	16967362	2
golfing	golfing	16967362	2
google	google	16967362	2
google-technology-user-group	google-technology-user-group	16967362	2
graph-databases	graph-databases	16967362	2
group-singing	group-singing	16967362	2
hbase	hbase	16967362	2
healthy-kids	healthy-kids	16967362	2
html-xhtml-css-javascript	java	16967362	2
human-sexuality	human-sexuality	16967362	2
illustration	illustration	16967362	2
indian-culture	indian-culture	16967362	2
indianmusic	indianmusic	16967362	2
internetpro	internetpro	16967362	2
intlrel	intlrel	16967362	2
ipad	ipad	16967362	2
iphone	iphone	16967362	2
italian-culture	italian-culture	16967362	2
jam-sessions	jam-sessions	16967362	2
japanese-language	japanese-language	16967362	2
java-virtual-machine	java	16967362	2
javascript-libraries	java	16967362	2
job-search	job-search	16967362	2
karaoke	karaoke	16967362	2
latinmusic	latinmusic	16967362	2
lesbian-social-networking	networking	16967362	2
lgbt-friendly	lgbt-friendly	16967362	2
lgbtq	lgbtq	16967362	2
linux-user-group	linux-user-group	16967362	2
machine-intelligence	machine-intelligence	16967362	2
mandarin-language	mandarin-language	16967362	2
marketing	marketing	16967362	2
medmarijuana	medmarijuana	16967362	2
men	men	16967362	2
mentoring-someone	mentoring-someone	16967362	2
metaphysics	metaphysics	16967362	2
mindfulness-in-nature	mindfulness-in-nature	16967362	2
mobile-marketing	mobile-marketing	16967362	2
moms	moms	16967362	2
motorcycle-riding	motorcycle-riding	16967362	2
mountaineering	mountaineering	16967362	2
multicultural	multicultural	16967362	2
music-production	music-production	16967362	2
music-technology	music-technology	16967362	2
nature-walks	nature-walks	16967362	2
neural-networks	neural-networks	16967362	2
nflfootball	nflfootball	16967362	2
open-source-hardware	open-source-hardware	16967362	2
open-source-python	python	16967362	2
partying	partying	16967362	2
philosophy-ethics-politics-and-religion	philosophy-ethics-politics-and-religion	16967362	2
philosophy-of-mind	philosophy-of-mind	16967362	2
politics	politics	16967362	2
portuguese	portuguese	16967362	2
potluck	potluck	16967362	2
presentations	presentations	16967362	2
proaudio	proaudio	16967362	2
programming	programming	16967362	2
programming-in-r	programming-in-r	16967362	2
python-web-development	python	16967362	2
quantum-physics	quantum-physics	16967362	2
readers	readers	16967362	2
russians	russians	16967362	2
salesforce	salesforce	16967362	2
salsa-dance-lessons	dance-various	16967362	2
scrabble	scrabble	16967362	2
seakayaking	seakayaking	16967362	2
seniors	seniors	16967362	2
smallbiz	smallbiz	16967362	2
smart-sensors	sensors	16967362	2
snowboard	snowboard	16967362	2
space-science	space-science	16967362	2
spark	spark	16967362	2
sportbikes	sportbikes	16967362	2
sqlserver	sqlserver	16967362	2
staying-active-and-fit	staying-active-and-fit	16967362	2
survivalism	survivalism	16967362	2
sustainable-energy	sustainable-energy	16967362	2
taichi	taichi	16967362	2
test-driven-development	test-driven-development	16967362	2
thriftshoppers	thriftshoppers	16967362	2
trading	trading	16967362	2
trans-gender-queer-queer-and-queer-friendly-peeps	trans-gender-queer-queer-and-queer-friendly-peeps	16967362	2
tv	tv	16967362	2
uav	uav	16967362	2
udacity	udacity	16967362	2
urban-gardening	urban-gardening	16967362	2
vegan-potlucks-and-dineouts	vegan-potlucks-and-dineouts	16967362	2
wilderness	wilderness	16967362	2
wine-and-food	wine-and-food	16967362	2
winter-sports	winter-sports	16967362	2
womens-business-networking	business-various	16967362	2
wordpress-plugins	wordpress	16967362	2
wordpress-themes	wordpress	16967362	2
writersblock	writersblock	16967362	2
_type_-theory	_type_-theory	16967362	1
20s-and-30s	20s-and-30s	16967362	1
20s-social	20s-30s-social	16967362	1
2d-animation	2-3-d-animation	16967362	1
3d-animation	2-3-d-animation	16967362	1
4x4-trails	4x4-trails	16967362	1
4x4s	4x4s	16967362	1
academics	academics	16967362	1
accessibility	accessibility	16967362	1
accounting	accounting	16967362	1
acoustic-guitar	acoustic-guitar	16967362	1
activedogs	activedogs	16967362	1
adobe-illustrator	adobe-illustrator	16967362	1
adobe-user-group	adobe-user-group	16967362	1
adrenaline-junkies	adrenaline-junkies	16967362	1
adrenaline-seekers	adrenaline-seekers	16967362	1
adult-amateur-pianists	adult-amateur-pianists	16967362	1
aerial-cinematography	aerial-cinematography	16967362	1
affiliate-marketing	affiliate-marketing	16967362	1
agile-programming-and-python	python	16967362	1
agile-testing	agile-testing	16967362	1
ai-algorithms	ai-algorithms	16967362	1
ajax	ajax	16967362	1
algorithms	algorithms	16967362	1
all-things-mad-men-tv-twitter-real-life	all-things-mad-men-tv-twitter-real-life	16967362	1
allthingsindie	allthingsindie	16967362	1
american-sign-language-classes	american-sign-language-classes	16967362	1
angel-investors	angel-investors	16967362	1
animalrescue	animalrescue	16967362	1
animalwelfare	animalwelfare	16967362	1
anthropology	anthropology	16967362	1
anxiety-support	anxiety-support	16967362	1
apple-mobile-device-application-development	apple-mobile-device-application-development	16967362	1
application-development	application-development	16967362	1
applied-math	applied-math	16967362	1
aquaponics	aquaponics	16967362	1
argentine-tango	argentine-tango	16967362	1
artificial-intelligence-programming	artificial-intelligence-programming	16967362	1
asian-americans	asian-americans	16967362	1
asian-culture	asian-culture	16967362	1
asian-food	asian-food	16967362	1
asl	asl	16967362	1
asl-sign-languages	asl-sign-languages	16967362	1
asp-net	asp-net	16967362	1
asp-net-mvc	asp-net-mvc	16967362	1
asteriskpbx	asteriskpbx	16967362	1
astrobiology	astrobiology	16967362	1
astrophysics	astrophysics	16967362	1
asynchronous-programming	asynchronous-programing	16967362	1
audio	audio	16967362	1
audiophile	audiophile	16967362	1
autism	autism	16967362	1
automated-trading-strategies	automated-trading-strategies	16967362	1
automation	automation	16967362	1
automotive	automotive	16967362	1
b2b-networking	networking	16967362	1
baking	baking	16967362	1
bassethound	bassethound	16967362	1
battlestargalactica	battlestargalactica	16967362	1
bay-area	bay-area	16967362	1
bcs	bcs	16967362	1
bee-keeping	bee-keeping	16967362	1
beer-and-food-pairing	beer-and-food-pairing	16967362	1
beer-making	beer-making	16967362	1
beer-tasting	beer-tasting	16967362	1
beginner-guitar	beginner-guitar	16967362	1
beginner-html-css	html-various	16967362	1
beginner-php-programming	php-various	16967362	1
beginner-piano	beginner-piano	16967362	1
beginner-web-developer	beginner-web-developer	16967362	1
behavioral-science	behavioral-science	16967362	1
bernese	bernese	16967362	1
best-practices-for-high-performance-ecommerce	best-practices-for-high-performance-ecommerce	16967362	1
bhakti-yoga	bhakti-yoga	16967362	1
bidwhist	bidwhist	16967362	1
big-data-hadoop	big-data-hadoop	16967362	1
big-data-in-hi-tech-manufacturing	big-data-in-hi-tech-manufacturing	16967362	1
bike-night	bike-night	16967362	1
bikepacking	bikepacking	16967362	1
bioinformatics	bioinformatics	16967362	1
biology	biology	16967362	1
birdwatching	birdwatching	16967362	1
bisexual-friends	bisexual-friends	16967362	1
bisexual-women	bisexual-women	16967362	1
blender-3d	blender-3d	16967362	1
boating	boating	16967362	1
boxing	boxing	16967362	1
brain	brain	16967362	1
brainstorming-problem-solving	brainstorming-problem-solving	16967362	1
brazil	brazil	16967362	1
brazilian-culture	brazilian-culture	16967362	1
brazilian-portuguese	brazilian-portuguese	16967362	1
brooklyn	brooklyn	16967362	1
bsd	bsd	16967362	1
buffy	buffy	16967362	1
business-intelligence-best-practices	business-various	16967362	1
business-referral-networking	business-various	16967362	1
business-transformation	business-various	16967362	1
businessactivist	business-various	16967362	1
c-c	c-c	16967362	1
cafe-racer	cafe-racer	16967362	1
cakephp	cakephp	16967362	1
cars	cars	16967362	1
cartography	cartography	16967362	1
casual-bicycling	casual-bicycling	16967362	1
category-theory	category-theory	16967362	1
ceramic	ceramic	16967362	1
cfa-exam-preparation	cfa-exam-preparation	16967362	1
cg-artists	cg-artists	16967362	1
charcuterie	charcuterie	16967362	1
charity	charity	16967362	1
cheap-drinks	cheap-drinks	16967362	1
cheese-making	cheese-making	16967362	1
chess-class-for-beginners	chess-class-for-beginners	16967362	1
chess-education	chess-education	16967362	1
chess-event	chess-event	16967362	1
chess-improvement	chess-improvement	16967362	1
chess-meeting-space	chess-meeting-space	16967362	1
chess-tutorials	chess-tutorials	16967362	1
chicago	chicago	16967362	1
childrenrights	childrenrights	16967362	1
cigars	cigars	16967362	1
cinema-and-movies	cinema-and-movies	16967362	1
city-walks	city-walks	16967362	1
civic-engagement-technology	civic-engagement-technology	16967362	1
civic-hacking	civic-hacking	16967362	1
civil-engineering	civil-engineering	16967362	1
classic-motorcycles	classic-motorcycles	16967362	1
classical-piano	classical-piano	16967362	1
clothing-optional-recreation	clothing-optional-recreation	16967362	1
co-ed-adult-sports-league	co-ed-adult-sports-league	16967362	1
co-ed-ultimate-frisbee	co-ed-ultimate-frisbee	16967362	1
cob	cob	16967362	1
cocoa	cocoa	16967362	1
code-for-america	code-for-america	16967362	1
coffee-and-chat	coffee-and-chat	16967362	1
coffee-and-contacts	coffee-and-contacts	16967362	1
coffee-and-jazz-mixer-networking-group	networking	16967362	1
coffee-books	coffee-books	16967362	1
coffee-roasting	coffee-roasting	16967362	1
coffee-shops	coffee-shops	16967362	1
coffeehouse-chess	coffeehouse-chess	16967362	1
cognos	cognos	16967362	1
cognos-tm1	cognos-tm1	16967362	1
comics	comics	16967362	1
computer	computer	16967362	1
computer-programing	computer-programming	16967362	1
computer-vision	computer-vision	16967362	1
configuration-management	configuration-management	16967362	1
conservative-and-libertarian-politics	conservative-and-libertarian-politics	16967362	1
console-gaming	console-gaming	16967362	1
consultant	consultant	16967362	1
content-marketing	content-marketing	16967362	1
continous-integration	continous-integration	16967362	1
